,avg_score,avg_score,subregion,region
0,2016,55.28722675345949,Center Asia,Asia
1,2017,59.19143112925837,Center Asia,Asia
2,2018,59.56348790130856,Center Asia,Asia
3,2019,60.25184149283518,Center Asia,Asia
4,2020,61.96428263412678,Center Asia,Asia
0,2016,48.27304555543748,South Asia,Asia
1,2017,53.82140431153405,South Asia,Asia
2,2018,54.938277109113066,South Asia,Asia
3,2019,56.13963221722524,South Asia,Asia
4,2020,57.75043198243629,South Asia,Asia
0,2016,62.22723118806462,East Asia,Asia
1,2017,66.7934171943835,East Asia,Asia
2,2018,64.57629261682814,East Asia,Asia
3,2019,62.9805545806487,East Asia,Asia
4,2020,66.04840751751398,East Asia,Asia
0,2016,52.28085322909888,Southeast Asia,Asia
1,2017,56.31176970366084,Southeast Asia,Asia
2,2018,56.89924468923421,Southeast Asia,Asia
3,2019,56.97607161218591,Southeast Asia,Asia
4,2020,58.94223368626456,Southeast Asia,Asia
0,2016,57.56152242305288,West Asia,Asia
1,2017,60.12528161759667,West Asia,Asia
2,2018,60.44922826510242,West Asia,Asia
3,2019,60.69064713835707,West Asia,Asia
4,2020,63.354209248005134,West Asia,Asia
0,2016,,West Africa,Africa
1,2017,,West Africa,Africa
2,2018,,West Africa,Africa
3,2019,,West Africa,Africa
4,2020,53.21926798322795,West Africa,Africa
0,2016,48.46116892615515,South Africa,Africa
1,2017,54.27233297028595,South Africa,Africa
2,2018,55.559176735860525,South Africa,Africa
3,2019,55.75003049982572,South Africa,Africa
4,2020,57.26228017134568,South Africa,Africa
0,2016,41.44774038229716,Middle Africa,Africa
1,2017,45.812130123088956,Middle Africa,Africa
2,2018,50.61598801356769,Middle Africa,Africa
3,2019,51.236580412387944,Middle Africa,Africa
4,2020,52.932994393683046,Middle Africa,Africa
0,2016,44.630250359182156,East Africa,Africa
1,2017,50.70298631880047,East Africa,Africa
2,2018,50.80146902354666,East Africa,Africa
3,2019,51.18697135710087,East Africa,Africa
4,2020,53.319706854114344,East Africa,Africa
0,2016,60.779919008710245,South Europe,Europe
1,2017,66.69416789851856,South Europe,Europe
2,2018,66.62211042427751,South Europe,Europe
3,2019,68.32508471407596,South Europe,Europe
4,2020,70.14575508761047,South Europe,Europe
0,2016,61.267941027878976,East Europe,Europe
1,2017,65.18199071800366,East Europe,Europe
2,2018,65.65980993537988,East Europe,Europe
3,2019,66.56897785139697,East Europe,Europe
4,2020,67.9447433408742,East Europe,Europe
0,2016,72.00867479110917,North Europe,Europe
1,2017,72.75152109302566,North Europe,Europe
2,2018,73.39182197085557,North Europe,Europe
3,2019,72.95345267329992,North Europe,Europe
4,2020,74.90921404488469,North Europe,Europe
0,2016,70.83920819244447,West Europe,Europe
1,2017,73.81772319975971,West Europe,Europe
2,2018,73.67280018505485,West Europe,Europe
3,2019,73.11686873695017,West Europe,Europe
4,2020,74.81689598235282,West Europe,Europe
0,2016,70.02682970917762,Oceania,Oceania
1,2017,72.40418900142217,Oceania,Oceania
2,2018,54.211102760323506,Oceania,Oceania
3,2019,57.1647987691341,Oceania,Oceania
4,2020,58.07103368508113,Oceania,Oceania
0,2016,51.95480287557684,Latin&Caribbean,America
1,2017,58.76468691867298,Latin&Caribbean,America
2,2018,59.44932066388309,Latin&Caribbean,America
3,2019,59.84904016800752,Latin&Caribbean,America
4,2020,61.421897932886736,Latin&Caribbean,America
0,2016,68.80841845818182,North America,America
1,2017,70.53340367598483,North America,America
2,2018,70.04725662347036,North America,America
3,2019,69.77863573484277,North America,America
4,2020,71.54066567867906,North America,America
